"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"1";0,0224;0,1004;0,1182;0,4232;0,0248;0,0922;0,1158;0,4096;0,0258;0,0846;0,1172;0,395
"2";0,034;0,127;0,1398;0,485;0,0442;0,1432;0,1448;0,4948;0,0488;0,1534;0,1634;0,5068
"3";0,049;0,1858;0,1668;0,5766;0,0704;0,2224;0,1932;0,5932;0,0936;0,2546;0,224;0,6196
"4";0,0732;0,2476;0,1876;0,651;0,1128;0,3212;0,2272;0,6714;0,1832;0,4104;0,297;0,7326
"5";0,0968;0,304;0,2054;0,6902;0,1616;0,3992;0,2706;0,7492;0,2926;0,5662;0,3734;0,8226
"6";0,1398;0,3826;0,2464;0,7868;0,2414;0,5334;0,3216;0,8314;0,4152;0,705;0,4658;0,8936
"7";0,1746;0,4764;0,27;0,8328;0,3166;0,6376;0,3778;0,8926;0,553;0,835;0,5618;0,945
"8";0,2246;0,5594;0,3106;0,8742;0,405;0,728;0,4436;0,9316;0,6944;0,9166;0,6428;0,9734
"9";0,2708;0,649;0,3466;0,9188;0,5064;0,8122;0,5146;0,962;0,8046;0,961;0,734;0,9862
"10";0,345;0,7098;0,3904;0,9474;0,6038;0,8872;0,5748;0,9834;0,8796;0,9832;0,8076;0,9966
"11";0,403;0,79;0,4216;0,9714;0,6944;0,929;0,6272;0,9876;0,9486;0,9952;0,8722;0,999
"12";0,4788;0,8538;0,4632;0,9834;0,7792;0,9638;0,6938;0,994;0,9666;0,9974;0,9146;1
"13";0,546;0,886;0,5144;0,9904;0,8494;0,9836;0,7538;0,9984;0,9886;0,9998;0,955;1
"14";0,6042;0,9272;0,5586;0,994;0,895;0,9926;0,8104;0,9996;0,9944;0,9998;0,9758;1
"15";0,6866;0,956;0,594;0,9986;0,9298;0,9944;0,8504;0,9998;0,9986;1;0,9866;1
"16";0,7402;0,9776;0,6374;0,9992;0,9562;0,9984;0,889;1;0,9998;1;0,995;1
"17";0,7856;0,9838;0,6696;0,9996;0,9776;1;0,9184;1;0,9998;1;0,9958;1
"18";0,835;0,9918;0,7202;1;0,988;1;0,9464;1;1;1;0,9986;1
"19";0,8692;0,9956;0,7456;1;0,9938;1;0,9618;1;1;1;1;1
"20";0,905;0,9972;0,7792;1;0,9978;1;0,9742;1;1;1;1;1
"21";0,9332;0,998;0,811;1;0,999;1;0,981;1;1;1;0,9996;1
